                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94763,                 3.2529,                0.31504,                0.78578,                 1.1463,                0.85323,                0.77519,                0.87113,                0.63517,                0.79748,                0.68689,                0.72875,                    0.4,                0.96211,                 3.0579,                0.31878,                0.76811,                 1.1301,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.0584,                 3.8973,                0.34577,                0.91698,                 1.2111,                0.83469,                0.75119,                0.85312,                0.60551,                0.79315,                0.63444,                0.69072,                0.36432,                  1.025,                 3.3907,                0.33953,                0.85055,                 1.1779,              0.0066615,              0.0066615,              0.0066615
                      3,                 1.1682,                 4.4846,                0.37486,                 1.0529,                 1.2805,                0.81477,                0.69443,                0.80299,                0.53337,                0.73872,                0.56307,                0.58883,                0.26623,                 1.1622,                 4.0859,                0.37814,                 1.0436,                 1.2844,              0.0099882,              0.0099882,              0.0099882
                      4,                 1.2185,                 4.7621,                 0.3946,                 1.1263,                 1.3182,                0.80469,                0.73929,                0.82714,                0.57066,                0.77078,                 0.5932,                0.63948,                0.30545,                 1.0936,                   3.78,                0.36646,                0.93024,                 1.2338,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.1783,                 4.5601,                0.38627,                 1.0765,                 1.2944,                  0.823,                0.74339,                 0.8402,                0.58905,                 0.7691,                0.62872,                0.66322,                0.33064,                 1.0512,                 3.5498,                0.35968,                0.89468,                 1.2021,              0.0099802,              0.0099802,              0.0099802
                      6,                 1.1552,                 4.4274,                0.38106,                 1.0459,                 1.2786,                0.83489,                0.75252,                0.85228,                0.60852,                0.77108,                0.65967,                0.68968,                0.36266,                 1.0062,                 3.3827,                0.35262,                0.84288,                 1.1705,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1387,                 4.3418,                0.37664,                 1.0273,                 1.2676,                0.83771,                0.76527,                0.86362,                0.62177,                0.79991,                  0.669,                0.71292,                0.38289,                0.99192,                 3.2436,                0.34699,                0.81657,                 1.1607,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.1255,                 4.2824,                0.37296,                  1.009,                 1.2582,                 0.8547,                0.76527,                0.87092,                0.62993,                0.80374,                0.67503,                0.72515,                0.39951,                0.97504,                 3.1602,                0.34312,                0.79643,                 1.1487,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.1172,                 4.2028,                0.36941,                0.99683,                 1.2528,                0.83421,                0.78344,                0.87174,                0.63765,                0.80437,                0.68262,                0.72941,                0.40697,                0.95961,                  3.097,                0.34117,                0.77958,                 1.1379,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1107,                 4.1833,                0.36675,                0.99093,                 1.2487,                0.84528,                0.78008,                0.87382,                0.64419,                0.81089,                0.68608,                0.73755,                0.41726,                0.94932,                 3.0171,                0.33647,                0.76482,                 1.1299,              0.0099555,              0.0099555,              0.0099555
